molregno,EC50 [nm],SlogP,SMR,LabuteASA,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles
2989,5,7.0921,115.7885,172.3755050959,41.49,445.044418692,2,2,3,0,5,27,48,4,2,0,2,0,0,2,2,0,0
2990,17,6.3296,108.0885,158.5079574903,41.49,367.133906624,2,2,3,0,4,26,48,4,2,0,2,0,0,2,2,0,0
3045,156,6.6222,118.0567,166.9292260517,30.49,373.204179104,4,1,3,0,3,28,55,4,2,0,2,0,0,2,2,0,0
3154,205.3333333333,6.572,108.0457,163.220015661,30.49,383.169685416,4,1,3,0,5,28,51,4,2,0,2,0,0,2,2,0,0
3167,242.5,6.624,106.4237,153.7137237381,21.26,351.138992004,2,1,2,0,3,25,47,4,2,0,2,0,0,2,2,0,0
3211,94,6.6326,112.9757,165.192211082,30.49,381.149556688,3,1,3,0,4,27,51,4,2,0,2,0,0,2,2,0,0
3212,81,6.1183,107.9237,159.054480258,30.49,365.179107228,3,1,3,0,4,27,51,4,2,0,2,0,0,2,2,0,0
3214,275.3333333333,5.9792,107.9657,154.8889448551,30.49,347.18852904,3,1,3,0,3,26,51,4,2,0,2,0,0,2,2,0,0
3226,81,6.28762,112.7027,161.2538869695,30.49,361.204179104,3,1,3,0,3,27,54,4,2,0,2,0,0,2,2,0,0
3238,59,6.7417,115.6657,168.7564924608,30.49,425.099041108,3,1,3,0,4,27,51,4,2,0,2,0,0,2,2,0,0
3247,53,5.4715,113.8885,166.0481207217,50.72,377.199093724,4,2,4,0,4,28,55,4,2,0,2,0,0,2,2,0,0
3248,325,5.9706,101.4137,143.4104575112,21.26,317.177964356,2,1,2,0,2,24,47,4,2,0,2,0,0,2,2,0,0
3259,130,5.88158,119.0737,177.1249539949,63.51,402.194342692,5,1,5,0,5,30,56,4,2,0,2,0,0,2,2,0,0
3277,100,5.7658,119.3052,176.8938964135,56.79,405.194008344,5,1,5,0,5,30,57,4,2,0,2,0,0,2,2,0,0
3293,160,5.9912,122.2937,178.0965418197,39.72,401.199093724,5,1,4,0,4,30,57,4,2,0,2,0,0,2,2,0,0
3302,140,6.544,123.6577,178.4077133956,39.72,403.214743788,6,1,4,0,4,30,59,4,2,0,2,0,0,2,2,0,0
3314,400,5.6762,103.0785,148.2046912634,41.49,333.172878976,2,2,3,0,3,25,48,4,2,0,2,0,0,2,2,0,0
3324,82,6.7417,115.6657,168.7564924608,30.49,425.099041108,3,1,3,0,4,27,51,4,2,0,2,0,0,2,2,0,0
3368,285,5.9826,115.7417,166.6180544758,30.49,371.18852904,4,1,3,0,3,28,53,4,2,0,2,0,0,2,2,0,0
3374,343,6.6136,111.5047,155.4507387078,21.26,343.19361442,3,1,2,0,2,26,51,4,2,0,2,0,0,2,2,0,0
3381,70.5,6.6925,113.1947,159.898509651,21.26,363.16568542,3,1,3,0,3,26,51,4,2,0,2,0,0,2,2,0,0
3395,467,5.4293,109.3051,155.1152903226,47.28,346.204513452,3,2,3,0,3,26,52,4,2,0,2,0,0,2,2,0,0
3404,127.5,5.84228,106.1287,154.1679793071,45.05,342.173213324,2,1,3,0,3,26,48,4,2,0,2,0,0,2,2,0,0
3408,156.3333333333,6.0123,110.9604,155.3252618092,33.29,346.204513452,3,2,3,0,3,26,52,4,2,0,2,0,0,2,2,0,0
3431,94.5,5.9519,109.3487,155.1395671319,21.26,341.177964356,2,1,2,0,2,26,49,4,2,0,2,0,0,2,2,0,0
3451,305,6.117,112.1267,161.2538869695,30.49,361.204179104,4,1,3,0,3,27,54,4,2,0,2,0,0,2,2,0,0
3455,120,5.9878,114.5177,166.367432199,39.72,377.199093724,4,1,4,0,4,28,55,4,2,0,2,0,0,2,2,0,0
3456,79.5,5.6848,109.6305,159.6831786073,50.72,363.18344366,3,2,4,0,4,27,52,4,2,0,2,0,0,2,2,0,0
3460,40,5.4629,107.3365,154.5696333778,41.49,347.18852904,3,2,3,0,3,26,51,4,2,0,2,0,0,2,2,0,0
27370,33.9456,1.5576,95.0484,153.341308094,94.83,360.193673996,2,3,5,0,5,26,54,4,0,3,4,0,0,0,0,3,4
33383,10000,4.46938,84.662,126.5042540747,45.38,300.039105004,1,1,4,0,5,20,32,3,2,0,1,1,0,1,1,0,0
34608,10,4.6552,106.435,168.0181035423,60.44,386.245709568,3,0,4,0,4,28,62,4,0,3,4,0,0,0,0,3,4
34916,10000,5.53968,97.395,146.0048761673,36.15,336.109647764,1,1,2,0,4,24,41,4,2,1,2,0,0,1,2,1,1
129129,2.9,5.4909,112.0528,170.0607499484,38.05,388.19509164,3,1,3,0,4,29,54,5,3,1,2,1,0,0,2,1,2
129130,2.7,5.63,112.0108,174.2262853514,38.05,406.185669828,3,1,3,0,5,30,54,5,3,1,2,1,0,0,2,1,2
129131,19.5,5.1965,113.7176,174.8549837006,58.28,404.19000626,3,2,4,0,5,30,55,5,3,1,2,1,0,0,2,1,2
129295,13.9,5.3609,116.8038,176.4256920628,38.05,402.210741704,4,1,3,0,4,30,57,5,3,1,2,1,0,0,2,1,2
129325,170.3,5.3084,108.6158,165.8225351608,38.05,380.226391768,5,1,3,0,4,28,57,5,2,2,3,1,0,0,1,2,3
129361,503.6,5.5,116.7618,180.5912274658,38.05,420.201319892,4,1,3,0,5,31,57,5,3,1,2,1,0,0,2,1,2
129901,130.05,5.0844,106.0888,159.7738211678,38.05,366.210741704,5,1,3,0,4,27,54,4,2,1,2,1,0,0,1,1,2
