"molregno","standard_type","standard_relation","nm","chembl_id","smiles","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","slogp_VSA1","slogp_VSA2","slogp_VSA3","slogp_VSA4","slogp_VSA5","slogp_VSA6","slogp_VSA7","slogp_VSA8","slogp_VSA9","slogp_VSA10","slogp_VSA11","slogp_VSA12","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA8","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN4","MQN5","MQN6","MQN7","MQN8","MQN9","MQN10","MQN11","MQN12","MQN13","MQN14","MQN15","MQN16","MQN17","MQN18","MQN19","MQN20","MQN21","MQN22","MQN23","MQN24","MQN25","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN33","MQN34","MQN35","MQN36","MQN37","MQN38","MQN39","MQN40","MQN41","MQN42"
173,"Potency",,39810.7,"CHEMBL6","COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3",3.9273200000000026,95.74730000000002,148.94809374556098,68.53,357.793,357.07678567199997,5,1,5,1,4,0,6,25,41,3,3,0,0,1,0,0,2,0,0,0.15789473684210525,14.501624146933118,7.998502484618467,6.101449910640121,4.416130011147616,3.0729928475642407,7.62053801160924,5.665014130168136,4.16415369580813,2.947004689894498,-2.7899999999999996,17.04669994118993,6.607181634243952,3.1046664994872564,4.736862953800049,28.65990960121295,11.21535880699783,6.923737199690624,21.615368162314272,42.46456947923127,5.022633313741326,10.902924932081056,0.0,0.0,5.749511833283905,11.600939890232516,19.4324647167844,0.0,4.567099647791355,0.0,13.344558822616634,7.109797541277533,64.30803377121505,0.0,5.749511833283905,34.380349839616926,9.843390348640755,14.156174015934997,0.0,0.0,0.0,11.600939890232516,54.95175817061889,21.66623701475158,19.047319881819803,5.749511833283905,0.0,0.0,5.907179729351506,5.969305287951849,19,0,1,0,0,0,0,0,1,4,0,0,9,2,0,8,8,0,5,9,5,1,1,0,0,6,2,2,0,7,8,0,0,0,1,2,0,0,0,0,2,1
716,"IC50",">",10000.0,"CHEMBL6843","CCC1CCNc2cc3OC(=O)C=C(c3cc12)C(F)(F)F",4.121000000000002,73.62470000000002,118.30969650052215,42.24,297.27599999999995,297.097663348,3,1,2,1,3,0,6,21,35,3,2,0,1,1,0,1,1,0,0,0.4,11.381111420273553,6.827201840080874,5.233110957850708,3.960918464576392,2.910917992300065,6.827201840080874,5.233110957850708,3.960918464576392,2.910917992300065,-1.9799999999999998,13.978309833143369,4.787620967194596,2.3866005353396624,10.94237492308432,6.544756405912575,6.176298517443475,0.0,36.81018947509803,27.41078932651,0.0,10.969244356107037,0.0,18.858631417708022,0.0,0.0,17.588396080077807,0.0,0.0,0.0,31.85958500914751,11.861545009918906,39.74612769192863,0.0,0.0,16.656630630790602,9.733939541059678,0.0,4.794537184071822,13.171245143024459,0.0,6.923737199690624,30.389367852172015,29.751101031984152,5.563451491696996,5.583020141642242,0.0,0.0,0.0,11.801884836521463,15,3,0,0,0,0,0,0,1,1,1,0,6,1,0,11,5,0,2,5,3,1,1,0,0,5,1,0,1,7,7,0,0,0,0,3,0,0,0,0,4,2
717,"Ki",">",100000.0,"CHEMBL409","CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F",2.8795800000000016,93.86530000000003,162.86388772274876,107.25999999999999,430.3790000000001,430.06104080800003,6,2,7,2,5,1,11,29,43,2,2,0,0,0,0,0,2,0,0,0.2222222222222222,15.604333491333932,9.548618993582355,8.30048475138016,5.768835058590556,3.9691306020769854,7.896353767262199,6.310909343787181,3.836284044362847,2.380595791907567,-2.9699999999999993,22.320492648102462,7.805948812174504,5.303807092917946,5.316788604006331,30.785408526251626,20.808088837932797,17.148333708576654,18.050640183084614,47.360052954749044,0.0,0.0,0.0,23.24904646538284,0.0,0.0,35.88052175394075,5.261891554738487,0.0,0.0,23.59657000363556,11.06964221075312,59.40869330367115,0.0,6.069221312792274,21.431819140452568,10.423315998847038,4.794537184071822,12.808212032003757,18.433136697762947,0.0,0.0,49.38830667892189,5.687386274683562,27.844461378450827,5.817220841045895,15.43830394740119,0.0,5.907179729351506,6.176298517443475,18,4,0,0,0,1,0,2,0,4,0,0,14,3,1,6,6,0,7,10,6,2,2,0,0,10,3,1,3,7,5,0,0,0,0,2,0,0,0,0,0,0
791,"IC50",">",10000.0,"CHEMBL7289","CC1(C)CCc2cc3C(=CC(=O)Oc3cc2N1)C(F)(F)F",3.948500000000002,73.50870000000002,118.30969650052214,42.24,297.27599999999995,297.097663348,3,1,1,1,3,0,6,21,35,3,2,0,1,1,0,1,1,0,0,0.4,11.596654369897381,6.6184767339650605,5.991267495484399,3.76611482019048,2.6849778565473374,6.6184767339650605,5.991267495484399,3.76611482019048,2.6849778565473374,-1.98,13.978309833143369,4.256391964647108,2.4988431575077454,10.94237492308432,5.538925252383345,12.597120140369483,0.0,31.395199005701247,27.41078932651,0.0,10.969244356107037,0.0,18.858631417708022,0.0,0.0,17.588396080077807,0.0,0.0,0.0,38.40434141506009,5.316788604006331,39.74612769192863,0.0,0.0,16.6566306307906,9.733939541059678,0.0,4.794537184071822,13.171245143024459,0.0,0.0,38.31893620539187,28.74526987845492,5.563451491696996,5.583020141642242,0.0,0.0,0.0,11.801884836521463,15,3,0,0,0,0,0,0,1,1,1,0,6,1,0,11,5,0,1,5,3,1,1,0,0,6,0,0,1,7,6,1,0,0,0,3,0,0,0,0,4,2
809,"IC50",">",10000.0,"CHEMBL267270","FC(F)(F)C1CCNc2cc3OC(=O)C=C(c3cc12)C(F)(F)F",4.273300000000001,69.3887,124.44136059490424,42.24,337.219,337.05374784800006,3,1,2,1,3,0,9,23,32,3,2,0,1,1,0,1,1,0,0,0.35714285714285715,11.307898058114688,6.567468612539117,5.222137649729141,3.7390399636035676,2.7475091587068903,6.567468612539117,5.222137649729141,3.7390399636035676,2.7475091587068903,-2.189999999999999,15.696053153194883,4.9028511906265,2.7490005521489875,10.94237492308432,12.72105492335605,6.176298517443475,0.0,23.465630652481394,27.41078932651,0.0,10.969244356107037,0.0,32.02987656073248,0.0,0.0,30.75964122310227,0.0,0.0,0.0,24.691324703974352,11.861545009918906,39.74612769192863,0.0,0.0,16.656630630790602,9.733939541059678,0.0,4.794537184071822,26.34249028604892,0.0,0.0,18.050640183084614,29.751101031984152,11.48135753785839,5.583020141642242,0.0,0.0,0.0,17.978183353964937,14,6,0,0,0,0,0,0,1,1,1,0,8,1,0,11,5,0,2,5,3,1,1,0,0,7,0,0,2,7,7,0,0,0,0,3,0,0,0,0,4,2
823,"IC50",">",10000.0,"CHEMBL6441","CC1=CC(C)(C)Nc2cc3OC(=O)C=C(c3cc12)C(F)(F)F",4.419200000000003,78.83870000000002,123.9850355827345,42.24,309.287,309.097663348,3,1,1,1,3,0,6,22,36,3,2,0,1,1,0,1,1,0,0,0.3125,12.259791076713912,6.738720221968139,6.04485885144671,3.6470727167796837,2.8745698668207864,6.738720221968139,6.04485885144671,3.6470727167796837,2.8745698668207864,-2.2399999999999993,14.687058553200695,4.378927466458907,2.3824234681402525,10.94237492308432,5.538925252383345,6.176298517443475,0.0,31.898114582465862,33.48680943334388,0.0,16.542348886176306,0.0,18.858631417708022,0.0,0.0,17.588396080077807,0.0,0.0,0.0,32.48643536889869,5.316788604006331,45.82214779876251,0.0,0.0,22.229735160859867,9.733939541059678,0.0,4.794537184071822,13.171245143024459,0.0,6.076020106833881,32.41068319760275,28.769796117768575,11.102376744080342,5.583020141642242,0.0,0.0,0.0,11.801884836521463,16,3,0,0,0,0,0,0,1,1,1,0,7,1,0,10,6,0,1,5,3,1,1,0,0,7,0,0,1,6,7,1,0,0,0,3,0,0,0,0,4,2
828,"IC50",">",10000.0,"CHEMBL6855","CCCC1CCNc2cc3OC(=O)C=C(c3cc12)C(F)(F)F",4.5111000000000026,78.24170000000002,124.67463861491875,42.24,311.30299999999994,311.113313412,3,1,3,1,3,0,6,22,38,3,2,0,1,1,0,1,1,0,0,0.4375,12.088218201460101,7.327201840080874,5.613537801981658,4.105256031873798,3.135182041063189,7.327201840080874,5.613537801981658,4.105256031873798,3.135182041063189,-1.9799999999999998,14.936555917706716,5.336437991139145,2.5755080806181008,10.94237492308432,6.544756405912575,6.176298517443475,0.0,43.23101109802404,27.41078932651,0.0,10.969244356107037,0.0,18.858631417708022,0.0,0.0,17.588396080077807,0.0,0.0,0.0,38.28040663207353,11.861545009918906,39.74612769192863,0.0,0.0,16.656630630790602,9.733939541059678,0.0,4.794537184071822,13.171245143024459,0.0,13.344558822616634,30.389367852172015,29.751101031984152,5.563451491696996,5.583020141642242,0.0,0.0,0.0,11.801884836521463,16,3,0,0,0,0,0,0,1,1,1,0,7,1,0,11,5,0,3,5,3,1,1,0,0,5,2,0,1,7,7,0,0,0,0,3,0,0,0,0,4,2
853,"Potency",,28514.2,"CHEMBL7301","C\C(=C/C=C/C(=C/C(=O)Nc1ccc(O)cc1)/C)\C=C\C2=C(C)CCCC2(C)C",6.862300000000006,122.86250000000005,174.7820171288265,49.33,391.5550000000003,391.25112929600004,3,2,7,2,2,1,3,29,62,2,1,0,1,0,0,0,1,0,1,0.34615384615384615,18.250284921419727,10.188255736783255,8.459055077420821,5.267199505264234,3.6103583229360474,10.188255736783255,8.459055077420821,5.267199505264234,3.6103583229360474,-2.809999999999999,22.478815266305343,10.106495511993652,7.262117252922884,5.316788604006331,11.013707124192212,4.794537184071822,5.41499046939678,53.88115086723114,83.01400703512681,0.0,0.0,0.0,5.687386274683562,5.749511833283905,0.0,9.901064578912528,0.0,0.0,5.41499046939678,53.88115086723114,5.316788604006331,83.01400703512681,0.0,5.749511833283905,11.594566004035068,10.423315998847038,4.794537184071822,0.0,0.0,0.0,55.37378399368919,80.86034427123167,11.763406381517443,0.0,5.749511833283905,0.0,5.907179729351506,0.0,0.0,26,0,0,0,0,0,0,1,0,2,0,0,13,5,0,8,4,0,7,5,3,2,2,0,0,7,7,3,0,7,4,1,0,0,0,2,0,0,0,0,0,0
860,"IC50","=",10600.0,"CHEMBL411","CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2",4.828600000000005,83.60960000000004,119.57701448414845,40.46,268.356,268.14632988,2,2,4,2,2,0,2,20,40,2,2,0,0,0,0,0,2,0,0,0.2222222222222222,11.92744290689002,6.961268349151438,4.757961611057043,3.502916324128001,2.508715892200647,6.961268349151438,4.757961611057043,3.502916324128001,2.508715892200647,-2.2199999999999993,14.19464363443765,6.286951762872694,3.020901581332349,0.0,10.213054789681411,0.0,0.0,37.81602062862726,48.53093654769288,0.0,11.146209060138535,0.0,0.0,11.49902366656781,0.0,10.213054789681411,0.0,0.0,0.0,26.689117645233267,0.0,59.65783953108687,0.0,11.49902366656781,11.146209060138535,10.213054789681411,0.0,0.0,0.0,0.0,38.112942673227685,59.380223563230984,0.0,0.0,11.49902366656781,0.0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,0,2,0,0,8,1,0,6,6,0,4,4,2,2,2,0,0,4,2,2,0,8,4,0,0,0,0,2,0,0,0,0,0,0
860,"Ki","=",4818.0,"CHEMBL411","CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2",4.828600000000005,83.60960000000004,119.57701448414845,40.46,268.356,268.14632988,2,2,4,2,2,0,2,20,40,2,2,0,0,0,0,0,2,0,0,0.2222222222222222,11.92744290689002,6.961268349151438,4.757961611057043,3.502916324128001,2.508715892200647,6.961268349151438,4.757961611057043,3.502916324128001,2.508715892200647,-2.2199999999999993,14.19464363443765,6.286951762872694,3.020901581332349,0.0,10.213054789681411,0.0,0.0,37.81602062862726,48.53093654769288,0.0,11.146209060138535,0.0,0.0,11.49902366656781,0.0,10.213054789681411,0.0,0.0,0.0,26.689117645233267,0.0,59.65783953108687,0.0,11.49902366656781,11.146209060138535,10.213054789681411,0.0,0.0,0.0,0.0,38.112942673227685,59.380223563230984,0.0,0.0,11.49902366656781,0.0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,0,2,0,0,8,1,0,6,6,0,4,4,2,2,2,0,0,4,2,2,0,8,4,0,0,0,0,2,0,0,0,0,0,0
