id,SlogP,SMR,LabuteASA,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles
CHEMBL395535,6.18,118.88,168.62,30.49,377.24,7.0,1.0,3.0,0.0,3.0,28.0,59.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
CHEMBL1200500,4.09,133.02,217.16,106.97,520.22,8.0,1.0,7.0,0.0,8.0,36.0,73.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0
CHEMBL1668087,1.43,130.36,197.49,148.21,484.19,11.0,4.0,7.0,2.0,11.0,34.0,62.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0
CHEMBL230901,4.4,126.45,190.89,49.77,431.25,2.0,1.0,4.0,0.0,4.0,32.0,65.0,5.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0
CHEMBL1668086,3.35,131.44,194.36,105.12,469.21,10.0,3.0,6.0,1.0,9.0,33.0,64.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0
CHEMBL1200545,2.99,119.32,202.46,106.97,494.21,6.0,1.0,7.0,0.0,9.0,35.0,67.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0
CHEMBL365546,4.66,100.99,158.53,36.28,368.19,1.0,0.0,4.0,0.0,5.0,27.0,52.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0
CHEMBL397919,6.83,138.26,202.02,83.31,474.16,3.0,3.0,7.0,0.0,7.0,34.0,60.0,5.0,3.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0
CHEMBL193482,2.58,80.12,125.18,60.69,288.17,0.0,3.0,3.0,0.0,3.0,21.0,45.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0
CHEMBL236406,5.82,100.98,162.71,29.46,398.19,9.0,1.0,2.0,0.0,6.0,28.0,54.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
