chembl_id,EC50[nM]
CHEMBL7781,5
CHEMBL273658,17
CHEMBL415309,156
CHEMBL267231,205.3333333333
CHEMBL8007,242.5
CHEMBL7987,94
CHEMBL7988,81
CHEMBL266282,275.3333333333
CHEMBL7655,81
CHEMBL7817,59
CHEMBL8637,53
CHEMBL8639,325
CHEMBL8055,130
CHEMBL7843,100
CHEMBL266488,160
CHEMBL8329,140
CHEMBL266709,400
CHEMBL8027,82
CHEMBL8360,285
CHEMBL267940,343
CHEMBL8394,70.5
CHEMBL8340,467
CHEMBL8209,127.5
CHEMBL440454,156.3333333333
CHEMBL7671,94.5
CHEMBL267670,305
CHEMBL274208,120
CHEMBL8140,79.5
CHEMBL268239,40
CHEMBL131,33.9456
CHEMBL282650,10000
CHEMBL717,10
CHEMBL28157,10000
CHEMBL81591,2.9
CHEMBL310365,2.7
CHEMBL81397,19.5
CHEMBL310420,13.9
CHEMBL312399,170.3
CHEMBL82546,503.6
CHEMBL79335,130.05
CHEMBL311662,29.7
CHEMBL309243,335.1
CHEMBL440877,24.2
CHEMBL419479,11.4
CHEMBL311034,12.8333333333
CHEMBL310570,24.2
CHEMBL312041,43.25
CHEMBL420767,14.3
CHEMBL309909,54.2
CHEMBL79807,15.85
CHEMBL313062,352.0666666667
CHEMBL81111,1.9
CHEMBL83110,10.2
CHEMBL313400,31.3
CHEMBL433586,5.6
CHEMBL1370,12.4
CHEMBL372684,94
CHEMBL364015,4443
CHEMBL363179,36
CHEMBL193404,1068
CHEMBL195972,423.3333333333
CHEMBL363137,140
CHEMBL372102,130
CHEMBL197161,205
CHEMBL197100,610
CHEMBL196237,760
CHEMBL196051,420
CHEMBL194745,97.5
CHEMBL196067,150
CHEMBL195021,2370
CHEMBL196373,620
CHEMBL196374,17.56
CHEMBL194802,130
CHEMBL195962,120
CHEMBL208840,10000
CHEMBL211441,6.31
CHEMBL213453,19.95
CHEMBL386448,39.81
CHEMBL210077,9.12
CHEMBL214336,18.62
CHEMBL385450,1000
CHEMBL377154,10000
