id,nm
CHEMBL395535,710.0
CHEMBL1200500,8.23
CHEMBL1668087,102.27
CHEMBL230901,86.5
CHEMBL1668086,7.295
CHEMBL1200545,6.4
CHEMBL365546,8.4
CHEMBL397919,1.1
CHEMBL193482,39345.0
CHEMBL236406,1125.0
CHEMBL1255080,13.0
CHEMBL366182,760.0
CHEMBL1159650,1.46
CHEMBL1257342,15.85
CHEMBL1257343,22.535
CHEMBL396784,51.0
CHEMBL550082,15.0
CHEMBL1682428,16.0
CHEMBL2022858,20.65
CHEMBL267431,85.0
CHEMBL1082837,1258.93
CHEMBL1094208,60.5
CHEMBL1094209,14.0
CHEMBL1085381,3162.28
CHEMBL1085380,3162.28
CHEMBL1094206,54.0
CHEMBL1094207,35.0
CHEMBL232223,22.1
CHEMBL193986,21.0
CHEMBL197552,110.0
CHEMBL1762211,18.0
CHEMBL1762210,3.9
CHEMBL194804,9.0
CHEMBL194802,20.0
CHEMBL397239,34.4
CHEMBL549364,110.0
CHEMBL470152,3.5
CHEMBL1940556,305.0
CHEMBL1940557,8.65
CHEMBL1940554,57.2
CHEMBL1940555,41.3
CHEMBL1940552,140.9
CHEMBL244972,56.6
CHEMBL1940550,13.5
CHEMBL1940551,17.2
CHEMBL503848,3.5
CHEMBL235536,1250.0
CHEMBL525273,28.6
CHEMBL233243,1200.0
CHEMBL233241,1300.0
CHEMBL1098849,2089.0
CHEMBL395716,0.2
CHEMBL395717,0.8
CHEMBL233249,65.1
CHEMBL1682431,26.0
CHEMBL1682436,14.0
CHEMBL1682437,20.0
CHEMBL228878,565.0
CHEMBL539699,8.5
CHEMBL210077,102.27
CHEMBL553019,9.8
CHEMBL553018,21.0
CHEMBL1254907,35.0
CHEMBL429627,340.0
CHEMBL524378,5.7
CHEMBL457035,17.0
CHEMBL457036,4.3
CHEMBL228610,116.0
CHEMBL228611,355.0
CHEMBL1062,51.0
CHEMBL1917247,10.975
CHEMBL1917244,35.0
CHEMBL1917245,11.2
CHEMBL1400945,13957.0
CHEMBL1917248,28.55
CHEMBL560797,0.251
CHEMBL1668068,3.505
CHEMBL457242,360.0
CHEMBL457241,49.0
CHEMBL388462,5700.0
CHEMBL237496,7.08
CHEMBL194114,65.0
CHEMBL501745,5.7
CHEMBL396029,64.0
CHEMBL219684,1.2
CHEMBL1668090,26.315
CHEMBL1668092,251.19
CHEMBL2023244,15.13
CHEMBL1253986,31.0
CHEMBL1253987,99.0
CHEMBL444286,2.7
CHEMBL1254080,40.0
CHEMBL2087294,1278.0
CHEMBL195990,10.0
CHEMBL1917416,2.1
CHEMBL1917415,2.1
CHEMBL1917414,0.75
CHEMBL427554,57.0
CHEMBL1950694,23.0
CHEMBL394369,0.2
CHEMBL1950696,142.0
CHEMBL1950697,61.0
CHEMBL1950693,45.0
CHEMBL1950698,60.0
CHEMBL563739,20.0
CHEMBL196929,740.0
CHEMBL235365,27.87
CHEMBL2023618,19.45
CHEMBL258191,34.2
CHEMBL2023619,19.46
CHEMBL500938,3.6
CHEMBL1257572,5.01
CHEMBL221426,9.0
CHEMBL376264,0.4
CHEMBL397191,56.0
CHEMBL2022859,36.9
CHEMBL203885,360.0
CHEMBL561276,0.794
CHEMBL2021945,2.6
CHEMBL103,330.0
CHEMBL563812,0.251
CHEMBL110691,37.7
CHEMBL104,3258.0
CHEMBL196185,2.5
CHEMBL1086086,1995.26
CHEMBL549896,17.0
CHEMBL564234,132.0
CHEMBL196067,79.0
CHEMBL561257,1400.0
CHEMBL233661,3600.0
CHEMBL233660,240.0
CHEMBL2023243,15.61
CHEMBL1682425,3.8
CHEMBL526106,0.5
CHEMBL2087296,1256.0
CHEMBL2087297,1601.0
CHEMBL232833,4100.0
CHEMBL232832,4100.0
CHEMBL237843,120.0
CHEMBL391874,3.2359365693e+15
CHEMBL2023616,1.99
CHEMBL2023617,50.295
CHEMBL2023614,11.8
CHEMBL2023615,1.8
CHEMBL1094231,83.0
CHEMBL401267,660.0
CHEMBL111861,2378.0
CHEMBL2023242,2.9
CHEMBL1084360,1584.89
CHEMBL2024025,61.3
CHEMBL1200845,1.61
CHEMBL388017,290.0
CHEMBL2024028,19.35
CHEMBL1940691,46.5
CHEMBL243870,120.0
CHEMBL238360,9.12
CHEMBL242872,275.0
CHEMBL317578,26.0
CHEMBL236748,580.0
CHEMBL1911663,405.0
CHEMBL236747,855.0
CHEMBL462100,21.0
CHEMBL221491,0.7
CHEMBL221492,0.4
CHEMBL1682441,11.0
