chembl_id,scaffold
CHEMBL7781,27
CHEMBL273658,27
CHEMBL415309,27
CHEMBL267231,27
CHEMBL8007,27
CHEMBL7987,27
CHEMBL7988,27
CHEMBL266282,27
CHEMBL7655,27
CHEMBL7817,27
CHEMBL8637,27
CHEMBL8639,27
CHEMBL8055,27
CHEMBL7843,27
CHEMBL266488,27
CHEMBL8329,27
CHEMBL266709,27
CHEMBL8027,27
CHEMBL8360,27
CHEMBL267940,27
CHEMBL8394,27
CHEMBL8340,27
CHEMBL8209,27
CHEMBL440454,27
CHEMBL7671,27
CHEMBL267670,27
CHEMBL274208,27
CHEMBL8140,27
CHEMBL268239,27
CHEMBL131,78
CHEMBL282650,26
CHEMBL717,78
CHEMBL28157,23
CHEMBL81591,9
CHEMBL310365,9
CHEMBL81397,9
CHEMBL310420,12
CHEMBL312399,10
CHEMBL82546,12
CHEMBL79335,21
CHEMBL311662,9
CHEMBL309243,21
CHEMBL440877,12
CHEMBL419479,12
CHEMBL311034,9
CHEMBL310570,7
CHEMBL312041,21
CHEMBL420767,21
CHEMBL309909,9
CHEMBL79807,9
CHEMBL313062,9
CHEMBL81111,9
CHEMBL83110,9
CHEMBL313400,9
CHEMBL433586,78
CHEMBL1370,76
CHEMBL372684,4
CHEMBL364015,9
CHEMBL363179,4
CHEMBL193404,7
CHEMBL195972,0
CHEMBL363137,42
CHEMBL372102,43
CHEMBL197161,42
CHEMBL197100,79
CHEMBL196237,42
CHEMBL196051,42
CHEMBL194745,64
CHEMBL196067,64
CHEMBL195021,64
CHEMBL196373,64
CHEMBL196374,65
CHEMBL194802,42
CHEMBL195962,43
CHEMBL208840,57
CHEMBL211441,56
CHEMBL213453,56
CHEMBL386448,51
CHEMBL210077,56
CHEMBL214336,56
CHEMBL385450,56
CHEMBL377154,56
CHEMBL211266,56
CHEMBL210185,52
CHEMBL208996,53
CHEMBL383890,54
CHEMBL384467,78
CHEMBL216272,63
CHEMBL221044,15
CHEMBL375812,15
CHEMBL243455,35
CHEMBL394369,5
CHEMBL395716,5
CHEMBL243469,5
CHEMBL429466,5
CHEMBL395717,5
CHEMBL243656,5
CHEMBL243657,35
CHEMBL244535,5
CHEMBL397919,5
CHEMBL244537,5
CHEMBL244713,5
CHEMBL397920,5
CHEMBL244714,5
CHEMBL244715,5
CHEMBL428922,5
CHEMBL233389,2
CHEMBL233390,7
CHEMBL393194,6
CHEMBL411825,6
CHEMBL233789,3
CHEMBL233588,3
CHEMBL439386,1
CHEMBL236201,1
CHEMBL236202,3
CHEMBL392376,3
CHEMBL235365,53
CHEMBL235591,72
CHEMBL393819,72
CHEMBL235799,11
CHEMBL235800,11
CHEMBL236018,11
CHEMBL391942,11
CHEMBL391943,11
CHEMBL398572,14
CHEMBL236853,14
CHEMBL236855,13
CHEMBL237496,14
