id,pIC50
CHEMBL135,8.89
CHEMBL1405,6.68
CHEMBL1627351,7.49
CHEMBL1627353,6.4
CHEMBL1628170,7.34
CHEMBL1627356,7.03
CHEMBL1628199,7.48
CHEMBL1358,8.22
CHEMBL1627354,8.05
CHEMBL691,8.7
CHEMBL1628029,6.71
CHEMBL597498,6.4
CHEMBL425194,4.96
CHEMBL1097377,7.13
CHEMBL1097284,6.47
CHEMBL1098710,7.32
CHEMBL1098709,6.61
CHEMBL1094732,6.61
CHEMBL1096975,6.31
CHEMBL1818254,8.95
CHEMBL282575,7.19
CHEMBL193482,8.77
CHEMBL1201151,7.74
CHEMBL2441819,4.19
CHEMBL2441818,4.19
CHEMBL2441817,4.19
CHEMBL3099431,6.32
CHEMBL3099429,7.04
