compoundid,1x10-5 mol.dm-3,1x10-4 mol.dm-3, 1x10-3 mol.dm-3
13736,6.675,5.932,4.799
13738,4.482,10.458,5.682
13548,2.43,2.478,8.649
7889,-1.0,2.244,60.017
10701,-0.23,-2.189,13.679
8041,1.666,4.832,8.213
10385,11.491,10.289,9.88
10382,10.669,12.159,10.249
10388,-1.403,-0.027,8.739
8165,11.991,19.095,8.844
8547,-1.575,0.591,6.305
8497,15.86,16.195,27.987
13877,8.618,4.277,6.949
9537,9.443,21.874,11.436
10409,-2.456,-0.491,7.78
10396,-0.51,-0.854,6.12
10399,-1.531,1.72,6.078
8156,0.899,14.515,8.196
8622,4.029,13.525,10.618
13841,20.073,8.506,1.964
13843,4.775,4.949,8.977
13847,-1.491,-0.157,6.541
13849,5.696,3.309,6.804
13848,2.884,8.855,-0.211
8029,-1.575,2.162,7.682
9965,-0.052,3.5,9.581
9968,7.168,-0.02,-1.173
13527,0.001,-0.364,10.214
7904,1.283,14.404,8.885
13458,3.471,3.588,12.266
13459,-1.736,7.345,7.724
10369,-1.262,6.923,3.328
10368,-0.626,-0.376,7.695
13659,-1.035,-0.791,7.615
10367,-2.504,-0.074,6.106
10504,7.045,15.297,21.144
10410,0.43,0.839,9.497
11107,-0.81,8.339,0.587
13852,11.061,8.232,2.793
13853,0.002,9.962,5.311
13850,7.616,4.013,1.27
13851,13.451,6.654,1.334
13856,8.899,8.037,7.954
13854,7.7,9.265,3.663
13855,5.78,10.676,5.33
13858,8.286,10.491,3.775
11030,0.164,2.727,7.049
8037,7.869,13.885,23.029
10313,-0.379,4.745,6.229
13709,-1.545,0.589,7.013
7833,-1.404,12.945,0.111
13463,1.159,3.988,9.592
10374,9.77,11.332,14.242
10372,-0.049,2.564,6.721
10373,0.258,4.424,7.519
10370,17.123,14.213,8.407
13862,7.239,8.273,3.093
11004,-0.37,1.079,7.533
8026,18.96,8.602,8.979
8024,-1.274,9.071,4.568
13883,4.686,7.406,3.549
13505,-0.434,9.486,24.199
10442,5.169,18.36,12.42
9560,0.692,1.125,6.453
9707,-0.317,2.299,8.958
13878,9.828,13.147,3.937
13879,-1.805,8.672,2.33
13873,-0.104,2.053,9.114
13876,5.807,1.983,7.209
10457,-0.702,6.569,6.638
10456,7.241,16.538,9.538
8475,20.281,6.476,9.374
10431,1.78,-0.725,7.123
9957,6.91,-1.286,-1.324
10354,0.029,1.811,11.029
10355,0.881,-0.51,8.452
13839,8.063,11.322,4.745
10756,1.951,2.968,7.061
10532,0.346,-1.265,19.367
14054,10.395,8.503,5.317
14031,13.146,18.754,10.93
11099,-0.258,13.024,-0.005
10320,-1.168,0.139,9.518
10322,13.081,18.142,3.067
10327,-0.046,10.227,2.875
10326,-1.782,0.029,7.683
10329,4.706,7.948,2.267
14048,-0.214,9.993,7.462
7943,7.494,-1.237,-1.788
10251,-0.806,0.863,9.928
10256,12.552,24.878,7.582
11072,-1.275,0.766,9.847
13783,-1.315,1.49,6.987
9808,5.209,17.062,6.899
9806,7.714,0.136,-1.768
14045,13.788,22.092,7.421
10452,0.087,8.339,1.241
13420,-0.002,-1.606,8.001
10333,-0.522,0.67,9.72
10330,0.104,6.986,-1.327
10339,3.901,11.809,4.443
7905,-1.562,8.272,16.284
14037,6.919,5.794,5.647
14039,7.05,15.194,9.937
10796,3.63,11.7,3.822
10584,-1.639,0.952,6.054
10248,-0.487,2.19,6.341
8934,7.409,27.481,9.407
11459,0.731,-1.809,16.829
8244,-1.499,2.768,7.571
8640,17.163,16.057,9.755
10305,7.418,9.063,2.863
10907,-0.002,7.611,14.84
10309,-1.841,-1.722,8.621
10301,8.398,10.752,-3.583
14028,-0.515,21.476,5.42
9057,3.794,23.395,10.082
8782,-0.468,0.073,7.441
14019,1.557,0.017,13.59
8651,8.59,5.807,9.803
13926,8.476,0.092,0.0
13696,5.871,9.676,5.975
13699,-0.03,0.206,6.502
13740,1.175,4.666,10.06
10343,-1.176,0.435,6.453
10318,4.649,9.485,7.081
10319,8.112,19.136,4.825
10310,32.725,9.421,-1.146
10316,13.058,26.79,-0.389
14050,3.282,8.678,3.838
14053,4.974,13.418,-0.936
10262,0.1,-0.244,7.194
10264,-0.226,3.089,7.745
10266,0.009,-0.224,6.471
10461,6.23,11.579,4.225
13914,-0.93,3.947,6.432
10673,-0.097,-2.18,7.03
10295,0.229,0.352,12.131
10453,2.393,14.051,6.42
11182,8.534,-0.028,0.0
14042,4.584,4.502,9.711
10133,5.476,0.696,6.726
10036,-0.058,0.001,8.542
8023,2.96,0.0,7.129
13481,-0.26,0.074,34.515
10280,-0.089,-0.977,6.644
9662,13.228,15.295,7.472
10590,0.913,10.374,3.825
10598,-0.01,0.157,19.037
8378,-1.267,3.621,7.361
13711,19.993,17.282,13.119
9895,-0.366,8.221,-0.532
11418,0.26,0.049,18.986
13918,2.844,3.813,8.961
9098,-0.676,1.246,30.401
10344,0.292,0.498,7.993
10549,7.655,19.708,12.99
8179,2.998,14.24,7.813
13662,10.938,5.88,5.311
13665,14.399,3.474,1.037
11393,0.782,2.262,10.728
13700,0.18,9.572,9.926
9661,6.417,7.262,6.483
9668,5.996,16.998,9.433
13551,-0.955,-0.616,6.374
13555,0.57,7.865,1.511
13554,0.954,-0.234,9.884
7892,13.032,15.791,19.753
7890,12.357,12.819,12.489
10420,2.87,9.284,6.483
9312,1.724,2.077,11.548
8957,2.136,8.224,13.714
10556,-0.463,9.852,5.662
10314,13.097,11.328,-0.043
10315,0.401,8.721,-0.701
10317,18.398,6.969,4.534
