steroidid,1x10-5 mol.dm-3,1x10-4 mol.dm-3, 1x10-3 mol.dm-3
13736,6.675,5.932,4.799
13739,-0.143,0.967,4.263
13738,4.482,10.458,5.682
10387,-1.433,-3.742,-2.832
8944,-0.005,-0.902,3.253
8165,11.991,19.095,8.844
8497,15.86,16.195,27.987
13877,8.618,4.277,6.949
8622,4.029,13.525,10.618
13841,20.073,8.506,1.964
13843,4.775,4.949,8.977
13845,-1.64,4.718,5.185
13847,-1.491,-0.157,6.541
13846,2.479,5.608,2.606
13849,5.696,3.309,6.804
13848,2.884,8.855,-0.211
13659,-1.035,-0.791,7.615
10504,7.045,15.297,21.144
13853,0.002,9.962,5.311
13850,7.616,4.013,1.27
13851,13.451,6.654,1.334
13854,7.7,9.265,3.663
13855,5.78,10.676,5.33
13858,8.286,10.491,3.775
13859,-0.473,3.438,4.316
8037,7.869,13.885,23.029
13864,-0.88,-1.142,3.029
8026,18.96,8.602,8.979
13883,4.686,7.406,3.549
13878,9.828,13.147,3.937
13879,-1.805,8.672,2.33
13873,-0.104,2.053,9.114
13876,5.807,1.983,7.209
8475,20.281,6.476,9.374
14051,-3.265,-1.813,-0.691
14054,10.395,8.503,5.317
14031,13.146,18.754,10.93
14046,0.412,1.673,4.432
14048,-0.214,9.993,7.462
9808,5.209,17.062,6.899
14037,6.919,5.794,5.647
14036,5.276,4.545,5.834
14038,1.992,4.872,3.439
10796,3.63,11.7,3.822
8934,7.409,27.481,9.407
8244,-1.499,2.768,7.571
10306,0.27,-3.603,-2.968
10305,7.418,9.063,2.863
10300,-0.009,-2.459,-3.866
10308,-0.104,-2.705,-3.243
10307,-0.039,-3.114,-3.946
10302,0.029,3.355,-2.611
10301,8.398,10.752,-3.583
14028,-0.515,21.476,5.42
13708,-0.845,-0.795,3.32
9057,3.794,23.395,10.082
8651,8.59,5.807,9.803
13695,-0.998,1.233,5.008
13696,5.871,9.676,5.975
13698,-1.154,1.818,3.721
13699,-0.03,0.206,6.502
13740,1.175,4.666,10.06
13741,0.318,1.599,4.566
10310,32.725,9.421,-1.146
14050,3.282,8.678,3.838
14053,4.974,13.418,-0.936
10295,0.229,0.352,12.131
14047,0.078,2.962,4.22
14040,-0.617,3.69,3.379
14042,4.584,4.502,9.711
9662,13.228,15.295,7.472
13711,19.993,17.282,13.119
13713,-1.302,-0.4,3.827
13715,-0.661,-0.794,4.055
13662,10.938,5.88,5.311
13665,14.399,3.474,1.037
13702,-0.367,2.62,3.929
13700,0.18,9.572,9.926
9661,6.417,7.262,6.483
9668,5.996,16.998,9.433
7892,13.032,15.791,19.753
7890,12.357,12.819,12.489
