steroidid,LogP,Molecular Weight,Aromatic Rings
13736,2.788,286.157,1
13739,4.191,348.072,1
13738,3.829,314.188,1
10890,4.179,334.251,0
10964,4.533,302.225,0
13548,4.45,330.219,0
7889,5.744,392.235,1
10701,5.209,472.228,1
10706,3.553,366.186,0
8041,4.5,312.209,0
13724,2.93,306.219,0
10633,4.514,384.166,0
10387,3.609,272.178,1
10385,3.815,290.225,0
10383,3.306,316.204,0
10382,4.333,300.209,0
10388,4.294,256.183,0
8944,3.916,310.193,1
14013,3.932,320.235,0
14012,5.434,380.235,1
10093,3.319,332.199,0
8166,4.141,306.256,0
8165,4.4,356.199,1
8164,4.201,374.246,0
8549,4.073,402.241,0
8548,6.423,482.343,0
8547,4.162,330.219,0
8497,4.04,370.178,1
13601,4.476,272.214,0
10880,3.096,318.219,0
13877,3.579,370.178,1
13530,2.626,302.188,0
9537,3.671,290.225,0
10626,3.465,382.114,0
10153,4.227,316.24,0
10409,7.009,431.413,0
10390,3.489,274.193,0
10392,3.569,276.209,0
10394,3.67,314.188,0
10395,6.999,372.339,0
10396,7.207,370.324,0
10399,2.332,294.219,0
10712,4.14,330.219,0
10571,4.06,316.204,0
10089,6.999,372.339,0
10086,4.714,330.256,0
8156,3.674,314.225,0
8622,3.579,370.178,1
13841,0.245,450.225,1
13843,3.523,286.157,1
13845,2.872,359.173,1
13847,3.932,308.178,1
13846,3.736,370.178,1
13849,3.371,372.194,1
13848,4.411,390.083,1
8029,5.096,490.329,0
9980,2.681,350.209,0
11026,2.655,365.293,0
11029,4.777,334.287,0
11362,8.197,486.407,0
9965,4.299,318.219,0
9962,5.154,354.156,0
9963,4.988,274.23,0
9968,5.266,454.172,0
13527,4.912,402.241,0
7904,4.53,332.235,0
13458,4.534,442.197,0
13459,9.926,514.439,0
10369,3.449,408.288,0
10368,5.58,386.282,0
13659,1.834,504.236,1
10367,7.237,542.307,1
10764,3.959,290.225,0
10504,3.722,372.194,1
10413,7.958,413.402,0
10410,3.569,276.209,0
10189,4.487,426.141,0
11101,7.607,556.268,1
11106,6.933,594.098,1
11107,5.006,356.235,0
11105,5.018,374.246,0
13852,3.956,312.173,1
13853,3.371,372.194,1
13850,2.58,288.173,1
13851,2.58,288.173,1
13856,4.48,354.183,1
13854,2.58,288.173,1
13855,3.579,370.178,1
13858,3.609,272.178,1
13859,1.551,304.167,1
11030,4.761,330.256,0
8037,5.123,376.204,2
13516,4.899,493.246,1
10437,3.879,288.209,0
10313,5.09,288.245,0
13709,3.593,268.146,1
7833,6.114,388.334,0
13463,3.879,288.209,0
9422,2.956,288.173,0
10377,2.303,394.236,0
10374,5.114,328.24,0
10372,7.106,528.36,2
10373,4.333,300.209,0
10370,4.478,392.293,0
8863,5.418,304.277,0
13864,2.341,388.189,1
13863,3.888,252.151,1
13862,4.48,354.183,1
11004,4.632,346.251,0
8026,3.609,272.178,1
8469,6.853,442.381,0
8024,4.325,358.251,0
13642,4.15,332.235,0
13883,2.58,288.173,1
13882,4.525,354.183,1
13981,5.923,478.272,1
13505,4.813,374.246,0
10442,4.695,402.277,0
9360,6.38,420.266,1
9560,4.347,374.246,0
9569,6.21,388.334,0
10521,6.805,390.35,0
9707,4.608,344.235,0
10235,4.386,332.235,0
8169,5.714,414.313,0
